2022-08-02,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),293174.000000
2022-10-29,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),388270.000000
2022-11-23,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),1074.400000
2022-09-11,491,Akij Brand Portland Cement (OPC) (Ton),36.600000
2022-12-30,491,Akij Brand Portland Cement (OPC) (Ton),258.780000
2023-02-23,491,Akij Brand Portland Cement (OPC) (Ton),197.700000
2023-06-01,491,Akij Brand Portland Cement (OPC) (Ton),161.020000
2022-04-08,492,Akij Brand Portland Cement (OPC) (Bag),11360.000000
2022-06-24,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),15593.000000
2023-06-04,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),411263.000000
2023-05-24,491,Akij Brand Portland Cement (OPC) (Ton),328.780000
2022-07-07,492,Akij Brand Portland Cement (OPC) (Bag),4320.000000
2023-05-06,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),328719.000000
2021-09-05,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),489.710000
2022-01-30,494,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Bag),1300.000000
2021-11-02,491,Akij Brand Portland Cement (OPC) (Ton),118.620000
2023-03-18,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),1105.380000
2021-09-11,492,Akij Brand Portland Cement (OPC) (Bag),350.000000
2022-10-21,495,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Ton),93.600000
2021-12-27,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),750.020000
2021-09-12,495,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Ton),49.400000
2022-01-11,492,Akij Brand Portland Cement (OPC) (Bag),17250.000000
2022-04-19,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),438451.000000
2022-09-23,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),370870.000000
2022-11-07,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),189.400000
2022-11-05,492,Akij Brand Portland Cement (OPC) (Bag),2320.000000
2022-10-05,494,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Bag),200.000000
