Date,Quantity
9/1/2021,10616
9/2/2021,16111.91
9/3/2021,15105.69
9/4/2021,24035.67
9/5/2021,34442.09
9/6/2021,39818.6
9/7/2021,89381.43
9/8/2021,172007.07
9/9/2021,342149.32
9/10/2021,23762.86
9/11/2021,18122.88
9/12/2021,42130.96
9/13/2021,57096.95
9/14/2021,36795.56
9/15/2021,57673.32
9/16/2021,269897.47
9/17/2021,66139.49
9/18/2021,51107.71
9/19/2021,52009.22
9/20/2021,47027.15
9/21/2021,61668.22
9/22/2021,113730.66
9/23/2021,203328.26
9/24/2021,136955.44
9/25/2021,228458.01
9/26/2021,176957.63
9/27/2021,151643.5
9/28/2021,178802.27
9/29/2021,190939.67
9/30/2021,299944.55
10/1/2021,40273.07
10/2/2021,24062.51
10/3/2021,26878
10/4/2021,33362.29
10/5/2021,29137.53
10/6/2021,71960.18
10/7/2021,114268.68
10/8/2021,24070.51
10/9/2021,76979.84
10/10/2021,63083.83
10/11/2021,58589.68
10/12/2021,60746.78
10/13/2021,116036.17
10/14/2021,121436.71
10/15/2021,43072.3
10/16/2021,79816.9
10/17/2021,79510.84
10/18/2021,107977.41
10/19/2021,149265.47
10/20/2021,98302.99
10/21/2021,169393.93
10/22/2021,77938.05
10/23/2021,108708.65
10/24/2021,39169.57
10/25/2021,173511.07
10/26/2021,214422.75
10/27/2021,151130.77
10/28/2021,246374.62
10/29/2021,45660.43
10/30/2021,141925.69
10/31/2021,456291.23
11/1/2021,26267.72
11/2/2021,31842.09
11/3/2021,76367.33
11/4/2021,45793.93
11/5/2021,31236.53
11/6/2021,49147.07
11/7/2021,112201.57
11/8/2021,228510.74
11/9/2021,88399.46
11/10/2021,143654.37
11/11/2021,138268.72
11/12/2021,63345.63
11/13/2021,109126.81
11/14/2021,54755.05
11/15/2021,103506.6
11/16/2021,121819.69
11/17/2021,71212.58
11/18/2021,100557.79
11/19/2021,152958.77
11/20/2021,74427.73
11/21/2021,102765.04
11/22/2021,83159.42
11/23/2021,127030.41
11/24/2021,136210.16
11/25/2021,152450.82
11/26/2021,82670.26
11/27/2021,96609.06
11/28/2021,183294.87
11/29/2021,294866.79
11/30/2021,347949.72
12/1/2021,37518.39
12/2/2021,34302.63
12/3/2021,22021.72
12/4/2021,24171.03
12/5/2021,35896.45
12/6/2021,23020.83
12/7/2021,37220.26
12/8/2021,54050.607
12/9/2021,79570.69
12/10/2021,52706.08
12/11/2021,81342.23
12/12/2021,86031.7
12/13/2021,114702.55
12/14/2021,125696.45
12/15/2021,147391.76
12/16/2021,66389.88
12/17/2021,70768.29
12/18/2021,85607.44
12/19/2021,145050.43
12/20/2021,93628.97
12/21/2021,111479.15
12/22/2021,113998.42
12/23/2021,227969.75
12/24/2021,82055.29
12/25/2021,73949.51
12/26/2021,185949.87
12/27/2021,147291.57
12/28/2021,123239.7
12/29/2021,128241.98
12/30/2021,167038.79
12/31/2021,93082.7
1/2/2022,13917.02
1/3/2022,80227.26
1/4/2022,123940.99
1/5/2022,87220.19
1/6/2022,125629.44
1/7/2022,77675.33
1/8/2022,175130.48
1/9/2022,76526
1/10/2022,153092.71
1/11/2022,179343.78
1/12/2022,138799.7
1/13/2022,202227.3
1/14/2022,190694.11
1/15/2022,170031.83
1/16/2022,97708.1
1/17/2022,77828.24
1/18/2022,127290.19
1/19/2022,79590.79
1/20/2022,172678.87
1/21/2022,106649.54
1/22/2022,55687.95
1/23/2022,132176.04
1/24/2022,195312.18
1/25/2022,225456.69
1/26/2022,187445.99
1/27/2022,209167.33
1/28/2022,149475.39
1/29/2022,137321.42
1/30/2022,249135.97
1/31/2022,303280.54
2/1/2022,61072.74
2/2/2022,119796.97
2/3/2022,86807.63
