Date,Quantity
2/4/2022,70542.28
2/5/2022,82560.04
2/6/2022,110141.74
2/7/2022,116941.47
2/8/2022,112703.9
2/9/2022,150951.7
2/10/2022,148311.53
2/11/2022,100220.33
2/12/2022,138372.74
2/13/2022,108098.27
2/14/2022,180925.47
2/15/2022,216814.73
2/16/2022,119799.78
2/17/2022,151125.6
2/18/2022,122509
2/19/2022,76330.3
2/20/2022,165074.48
2/21/2022,126388.38
2/22/2022,179822.23
2/23/2022,168049.13
2/24/2022,296284.39
2/25/2022,30250
2/26/2022,81838.58
2/27/2022,291087.04
2/28/2022,511062.75
3/1/2022,54075.47
3/2/2022,39740.52
3/3/2022,44896.31
3/4/2022,11180.87
3/5/2022,24458.89
3/6/2022,76816.54
3/7/2022,55758.96
3/8/2022,72509.5
3/9/2022,131058.2
3/10/2022,114000.9
3/11/2022,102574.92
3/12/2022,163551.71
3/13/2022,65265.96
3/14/2022,60893.35
3/15/2022,56908.71
3/16/2022,241610.88
3/17/2022,90705.17
3/18/2022,88066.28
3/19/2022,102486.12
3/20/2022,155500.49
3/21/2022,144743.32
3/22/2022,183522.2
3/23/2022,176675.75
3/24/2022,176841.85
3/25/2022,112838.57
3/26/2022,121939.07
3/27/2022,163259.84
3/28/2022,157921.31
3/29/2022,160646.41
3/30/2022,273745.38
3/31/2022,542378.96
4/1/2022,34976.04
4/2/2022,67806.96
4/3/2022,79916.72
4/4/2022,72720.99
4/5/2022,77825.76
4/6/2022,49471.23
4/7/2022,108107.64
4/8/2022,85964.92
4/9/2022,61184.66
4/10/2022,102209.3
4/11/2022,137489.16
4/12/2022,134034.84
4/13/2022,133002.86
4/14/2022,104277.26
4/15/2022,121591.1
4/16/2022,108866.56
4/17/2022,139098.58
4/18/2022,171417.73
4/19/2022,142175.99
4/20/2022,136259.65
4/21/2022,118290.73
4/22/2022,127566.62
4/23/2022,120575.39
4/24/2022,103716.12
4/25/2022,145743.54
4/26/2022,168688.06
4/27/2022,140337.09
4/28/2022,262819.13
4/29/2022,126883.4
4/30/2022,99125
5/1/2022,11650
5/2/2022,400
5/5/2022,9020
5/6/2022,3530
5/7/2022,20096
5/8/2022,40024
5/9/2022,30232.63
5/10/2022,30427.92
5/11/2022,22389.99
5/12/2022,28755.93
5/13/2022,109629.48
5/14/2022,118047.82
5/15/2022,116766.27
5/16/2022,68243.47
5/17/2022,145682.89
5/18/2022,123517.84
5/19/2022,200368.27
5/20/2022,82559.92
5/21/2022,176395.36
5/22/2022,81168.35
5/23/2022,175313.85
5/24/2022,139208.2
5/25/2022,69900.85
5/26/2022,136854.34
5/27/2022,114056.88
5/28/2022,127735.94
5/29/2022,177109.4
5/30/2022,136049.24
5/31/2022,319743.44
6/1/2022,77651.55
6/2/2022,112747.36
6/3/2022,90643.09
6/4/2022,58904.02
6/5/2022,114745.83
6/6/2022,160812.13
6/7/2022,109795.79
6/8/2022,108794.2
6/9/2022,88007.94
6/10/2022,64007.12
6/11/2022,117022.8
6/12/2022,69378.71
6/13/2022,149201.52
6/14/2022,139774.06
6/15/2022,103114.75
6/16/2022,158807.17
6/17/2022,95838.13
6/18/2022,83444.21
6/19/2022,65294.92
6/20/2022,67952.94
6/21/2022,65820
6/22/2022,35346
6/23/2022,64787
6/24/2022,15693
6/25/2022,75845.63
6/26/2022,125452.4
6/27/2022,84830.46
6/28/2022,118739.3
6/29/2022,190097.08
6/30/2022,236583.77
7/1/2022,58193
7/2/2022,75357.52
7/3/2022,104793.7
7/4/2022,90416.27
7/5/2022,122872.19
7/6/2022,128710.87
7/7/2022,110717.99
7/8/2022,37407.5
7/9/2022,10190
7/11/2022,5150
7/12/2022,26102.22
7/13/2022,32340
7/14/2022,60456.2
7/15/2022,41767
7/16/2022,68246.39
7/17/2022,97705
7/18/2022,104768.48
7/19/2022,128530.08
7/20/2022,141114.46
7/21/2022,146817.14
7/22/2022,62629.74
7/23/2022,63482.59
7/24/2022,96376.85
7/25/2022,128303.59
7/26/2022,125840.65
7/27/2022,115848.11
7/28/2022,133672.32
7/29/2022,47759
7/30/2022,80066.76
7/31/2022,260316.96
8/1/2022,73803.5
8/2/2022,46403.53
8/3/2022,71913.2
8/4/2022,104662.29
8/5/2022,58910.59
8/6/2022,80746.26
8/7/2022,132167.05
8/8/2022,135333.6
8/9/2022,127879.05
8/10/2022,157662.47
8/11/2022,217660.18
8/12/2022,104524.08
8/13/2022,192876.53
8/14/2022,70276.66
8/15/2022,40994
8/16/2022,120314.88
8/17/2022,192023.44
8/18/2022,148139.19
8/19/2022,48545
8/20/2022,90332.15
8/21/2022,90431.55
8/22/2022,105699.62
8/23/2022,156622.09
8/24/2022,110821.16
8/25/2022,243108.46
8/26/2022,91415.71
8/27/2022,124761.78
8/28/2022,170937.53
8/29/2022,145130.24
8/30/2022,64063.18
8/31/2022,129754.63
9/1/2022,83483.93
9/2/2022,20994.11
9/3/2022,26336.65
9/4/2022,55798.13
9/5/2022,42233.42
9/6/2022,50107.12
9/7/2022,62370.49
9/8/2022,96745.57
9/9/2022,33089.35
9/10/2022,45215.3
9/11/2022,95884.09
9/12/2022,64733.13
9/13/2022,42795.12
9/14/2022,67454.88
9/15/2022,93347.52
9/16/2022,44858.14
9/17/2022,54515.08
9/18/2022,193827.34
9/19/2022,154593.01
9/20/2022,97551.92
9/21/2022,90216
9/22/2022,133572.95
9/23/2022,56893.12
9/24/2022,90809.62
9/25/2022,107138.52
9/26/2022,116193.01
9/27/2022,128422.52
9/28/2022,146968.14
9/29/2022,241983.82
9/30/2022,128278.28
10/1/2022,19818.92
10/2/2022,38630.9
10/3/2022,57724.15
10/4/2022,121731.57
10/5/2022,70475.73
10/6/2022,139951.97
10/7/2022,49063.72
10/8/2022,59088.25
10/9/2022,40865.49
10/10/2022,104079.91
10/11/2022,142631.36
10/12/2022,117475
10/13/2022,237371.89
10/14/2022,74619
10/15/2022,73055.76
10/16/2022,146558.22
10/17/2022,116901.45
10/18/2022,98962.87
10/19/2022,79474.11
10/20/2022,242787.38
10/21/2022,71111
10/22/2022,93826.58
10/23/2022,90958.55
10/24/2022,21929.46
10/25/2022,57259.73
10/26/2022,81818.91
10/27/2022,158626.32
10/28/2022,62240.46
10/29/2022,68919.44
10/30/2022,156210.44
10/31/2022,153273.51
11/1/2022,88567.85
11/2/2022,127743.94
11/3/2022,109201.11
11/4/2022,39169.4
11/5/2022,44313.06
11/6/2022,91984.4
11/7/2022,46397.22
11/8/2022,86963.79
11/9/2022,160458.55
11/10/2022,192973.02
11/11/2022,62632.49
11/12/2022,96511.12
11/13/2022,194960.91
11/14/2022,174515.45
11/15/2022,140110.21
11/16/2022,189958.55
11/17/2022,178211.99
11/18/2022,68143.61
11/19/2022,102772.55
11/20/2022,118377.92
11/21/2022,91900.54
11/22/2022,94342.68
11/23/2022,97378.73
11/24/2022,120863.74
11/25/2022,57829.64
11/26/2022,61489.3
11/27/2022,122212.97
11/28/2022,137480.17
11/29/2022,174797.24
11/30/2022,206254.93
12/1/2022,66725.88
12/2/2022,30170.14
12/3/2022,27370.49
12/4/2022,83467.21
12/5/2022,78052.44
12/6/2022,63077.96
12/7/2022,81414.16
12/8/2022,91515.68
12/9/2022,50910.58
12/10/2022,50732.87
12/11/2022,140415.36
12/12/2022,161337.63
12/13/2022,111176.45
12/14/2022,154668.26
12/15/2022,207220.14
12/16/2022,73794.09
12/17/2022,108888.09
12/18/2022,81671.8
12/19/2022,121416.2
12/20/2022,128675.8
12/21/2022,135773.75
12/22/2022,167580.83
12/23/2022,75858.53
12/24/2022,114642.32
12/25/2022,44127.05
12/26/2022,142200.97
12/27/2022,135713.83
12/28/2022,200991.67
12/29/2022,280075.63
12/30/2022,92293.46
12/31/2022,218749.14
1/1/2023,56413.05
1/2/2023,49199.06
1/3/2023,58442.91
1/4/2023,70152.25
1/5/2023,118406.03
1/6/2023,24111.3
1/7/2023,59497.7
1/8/2023,165295.93
1/9/2023,145141.06
1/10/2023,124556.55
1/11/2023,117179.55
1/12/2023,129085.72
1/13/2023,57458.01
1/14/2023,60299.54
1/15/2023,152309.05
1/16/2023,106181.38
1/17/2023,106763.12
1/18/2023,87126.61
1/19/2023,265115.24
1/20/2023,133074.47
1/21/2023,164107.21
1/22/2023,148583.2
1/23/2023,143099.7
1/24/2023,167755.25
1/25/2023,171647.23
1/26/2023,307967.4
1/27/2023,134210.54
1/28/2023,171945.9
1/29/2023,224040.75
1/30/2023,165602.47
1/31/2023,226438.12
2/1/2023,88774.36
2/2/2023,113649.89
2/3/2023,67842.53
2/4/2023,124817.57
2/5/2023,98565.67
2/6/2023,83979.58
2/7/2023,105939.89
2/8/2023,71221.93
2/9/2023,249768.27
2/10/2023,75754.81
2/11/2023,105071.17
2/12/2023,126361.04
2/13/2023,108081.33
2/14/2023,115069.98
2/15/2023,123378.29
2/16/2023,280034.98
2/17/2023,114867.37
2/18/2023,143529.56
2/19/2023,92992.99
2/20/2023,116171.85
2/21/2023,50754.88
2/22/2023,121133.79
2/23/2023,205664.14
2/24/2023,112724.79
2/25/2023,143690.25
2/26/2023,181714.47
2/27/2023,123701.62
2/28/2023,87150.53
3/1/2023,62282.5
3/2/2023,118255.84
3/3/2023,49931.57
3/4/2023,47130.4
3/5/2023,94039.1
3/6/2023,107743.23
3/7/2023,120781.68
3/8/2023,70207.35
3/9/2023,223297.46
3/10/2023,175512.8
3/11/2023,131124.9
3/12/2023,131045.79
3/13/2023,136706.14
3/14/2023,101111.57
3/15/2023,101214.78
3/16/2023,166183.61
3/17/2023,81886.53
3/18/2023,94151.03
3/19/2023,130185.39
3/20/2023,136829.5
3/21/2023,168972.43
3/22/2023,140947.87
3/23/2023,198558.79
3/24/2023,81304.87
3/25/2023,117979.76
3/26/2023,98041.52
3/27/2023,122831.22
3/28/2023,145709.48
3/29/2023,125017.3
3/30/2023,156068.66
3/31/2023,86625.77
4/1/2023,95396.41
4/2/2023,91618.89
4/3/2023,156894.97
4/4/2023,135504.98
4/5/2023,109991.62
4/6/2023,123964.1
4/7/2023,70128.38
4/8/2023,73843.53
4/9/2023,151514.1
4/10/2023,152727.5
4/11/2023,117257.55
4/12/2023,124974.29
4/13/2023,161527.4
4/14/2023,91646.16
4/15/2023,101771.75
4/16/2023,168255.2
4/17/2023,132548.68
4/18/2023,128649.4
4/19/2023,113482.67
4/20/2023,70653.39
4/21/2023,4790
4/22/2023,300
4/23/2023,890
4/24/2023,10510
4/25/2023,29595
4/26/2023,68984.35
4/27/2023,137886.61
4/28/2023,65957.32
4/29/2023,75804.03
4/30/2023,215393.66
5/1/2023,30792.74
5/2/2023,65313.38
5/3/2023,149871.46
5/4/2023,99806.06
5/5/2023,52872.36
5/6/2023,77264.95
5/7/2023,90270.83
5/8/2023,69393.55
5/9/2023,72419
5/10/2023,193337.49
5/11/2023,136923.03
5/12/2023,79052.32
5/13/2023,96280.07
5/14/2023,99742.81
5/15/2023,85618.21
5/16/2023,83190.3
5/17/2023,82900.78
5/18/2023,226402.17
5/19/2023,113131.48
5/20/2023,157676.98
5/21/2023,119227.52
5/22/2023,123121.57
5/23/2023,106445.9
5/24/2023,119320.79
5/25/2023,221314.49
5/26/2023,81949.4
5/27/2023,152894.73
5/28/2023,140751.41
5/29/2023,120751.66
5/30/2023,143725.26
5/31/2023,189551.62
6/1/2023,158640.08
6/2/2023,87423.11
6/3/2023,92676.52
6/4/2023,109707.43
6/5/2023,116940.32
6/6/2023,97226.91
6/7/2023,109536.26
6/8/2023,248224.74
6/9/2023,126432.81
6/10/2023,175938.63
6/11/2023,147632.23
6/12/2023,103597.53
6/13/2023,110752.11
6/14/2023,114366.04
6/15/2023,279481.28
6/16/2023,113807.68
6/17/2023,137894.4
6/18/2023,64752.85
